source,location_id,country,city,postalcode,name,latitude,longitude,address,cuisine,category,rating,ranking,num_reviews,awards,num_reviews.1,web_url
TripAdvisor,4358446,Indonesia,Pangkal Pinang,,Mie Koba Iskandar,-2.124387,106.111694,"Jl. Balai no. 83, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,4.0,"{'ranking_string': '#2 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '2', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#2 of 39 Restaurants in Pangkal Pinang']}",100,"[{'award_type': 'Certificate of Excellence', 'year': '2018', 'images': {'small': 'http://www.tripadvisor.com/img/cdsi/img2/awards/CERTIFICATE_OF_EXCELLENCE_v2_small-39546-5.jpg', 'large': 'http://www.tripadvisor.com/img/cdsi/img2/awards/CERTIFICATE_OF_EXCELLENCE_2018_en_US_large-39546-5.jpg'}, 'categories': [], 'display_name': 'Certificate of Excellence 2018'}]",100,https://www.tripadvisor.com/Restaurant_Review-g1234796-d4358446-Reviews-Mie_Koba_Iskandar-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,10435968,Indonesia,Pangkal Pinang,,Latrasee Bistro,-2.1263919999999996,106.11475,"Jl. Sudirman no. 65 In Front of Hotel Swissbell Pangkal Pinang, Pangkal Pinang, Bangka Island Indonesia",[],restaurant,3.5,"{'ranking_string': '#19 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '19', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#16 of 39 Restaurants in Pangkal Pinang']}",13,[],13,https://www.tripadvisor.com/Restaurant_Review-g1234796-d10435968-Reviews-Latrasee_Bistro-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,13401987,Indonesia,Pangkal Pinang,,Rumah Makan Kapau Nusantara,-2.1162400000000003,106.11008999999999,"Jalan A. Yani Dalam, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,,,0,[],0,https://www.tripadvisor.com/Restaurant_Review-g1234796-d13401987-Reviews-Rumah_Makan_Kapau_Nusantara-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Island.html?m=39546
TripAdvisor,7033124,Indonesia,Sumatra,,Warung Kopi Aming,-2.11627,106.11013999999999,"Jl. A. Yani, Muntok Indonesia","[{'name': 'cafe', 'localized_name': 'Cafe'}]",restaurant,5.0,"{'ranking_string': '#78 of 165 Places to Eat in Bangka Belitung Islands', 'ranking_out_of': '165', 'geo_location_id': '2301790', 'ranking': '78', 'geo_location_name': 'Bangka Belitung Islands', 'ranking_string_detail': ['#70 of 153 Restaurants in Bangka Belitung Islands']}",2,[],2,https://www.tripadvisor.com/Restaurant_Review-g2301790-d7033124-Reviews-Warung_Kopi_Aming-Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,14054902,Indonesia,Pangkal Pinang,33684.0,Bakmi Abot,-2.11627,106.11013999999999,"Jl. Yang Zubaidah no 12a Seafood Asui Side, Pangkal Pinang, Bangka Island 33684 Indonesia","[{'name': 'chinese', 'localized_name': 'Chinese'}, {'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,,,0,[],0,https://www.tripadvisor.com/Restaurant_Review-g1234796-d14054902-Reviews-Bakmi_Abot-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,8532710,Indonesia,Pangkal Pinang,33129.0,Kantin NAD,-2.11908,106.11469,"Jln. Raden Abdullah no. 184, Pangkal Pinang, Bangka Island 33129 Indonesia",[],restaurant,3.5,"{'ranking_string': '#23 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '23', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#20 of 39 Restaurants in Pangkal Pinang']}",6,[],6,https://www.tripadvisor.com/Restaurant_Review-g1234796-d8532710-Reviews-Kantin_NAD-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,9826785,Indonesia,Pangkal Pinang,,RM Dayang 2,-2.1111400000000002,106.11889,"Jl. RE.Martadinata no. 1, Pangkal Pinang, Bangka Island Indonesia",[],restaurant,3.5,"{'ranking_string': '#25 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '25', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#22 of 39 Restaurants in Pangkal Pinang']}",3,[],3,https://www.tripadvisor.com/Restaurant_Review-g1234796-d9826785-Reviews-RM_Dayang_2-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,9790841,Indonesia,Pangkal Pinang,33684.0,Kingkong Kopitiam,-2.10327,106.11174,"Jl. Jenderal Sudirman, Pangkal Pinang, Bangka Island 33684 Indonesia",[],restaurant,4.0,"{'ranking_string': '#17 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '17', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#14 of 39 Restaurants in Pangkal Pinang']}",7,[],7,https://www.tripadvisor.com/Restaurant_Review-g1234796-d9790841-Reviews-Kingkong_Kopitiam-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,7033126,Indonesia,Bangka Island,33311.0,Warkop Bang Cik,-2.104502,106.11263999999998,"Jln. Yos Sudarso 20, Bangka Island 33311 Indonesia","[{'name': 'cafe', 'localized_name': 'Cafe'}]",restaurant,,,0,[],0,https://www.tripadvisor.com/Restaurant_Review-g1234795-d7033126-Reviews-Warkop_Bang_Cik-Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,7686955,Indonesia,Pangkal Pinang,,Graha Otak-Otak & Snack,-2.09917,106.11142,"Jl. Sudirman, Komp. Ruko no. 1, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,4.5,"{'ranking_string': '#18 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '18', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#15 of 39 Restaurants in Pangkal Pinang']}",4,[],4,https://www.tripadvisor.com/Restaurant_Review-g1234796-d7686955-Reviews-Graha_Otak_Otak_Snack-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumat.html?m=39546
